names,scores,logfoldchanges,pvals,pvals_adj
TBL2,0.82371753,1.3330854,0.4101000630906262,1.0
TMBIM6,0.823142,0.45418346,0.4104272529039257,1.0
TMEM206,0.823044,1.6002185,0.410482960229801,1.0
PCGF1,0.82299507,0.9848311,0.4105108155772448,1.0
ZDHHC16,0.8229338,25.675362,0.4105456363407306,1.0
ACADS,0.8225297,1.5253714,0.4107754973832989,1.0
BTN2A2,0.8219786,1.5515026,0.4110890674109894,1.0
PDS5A,0.82190514,0.6842544,0.41113088748284665,1.0
AP2A1,0.82185614,0.9070344,0.41115876893387326,1.0
PTGS1,0.8217582,25.780111,0.4112145352033212,1.0
POLR3C,0.8213908,2.6389163,0.4114236986988514,1.0
ABRAXAS2,0.8205336,1.3351556,0.41191199233477027,1.0
SIK3,0.82049686,0.5962108,0.4119329268836066,1.0
SARNP,0.81970084,1.3090833,0.41238666371732335,1.0
PSMG1,0.8193702,1.5503242,0.4125752260801435,1.0
FMN1,0.8193457,0.6830468,0.41258919569512664,1.0
PPP1R10,0.8188681,0.69980097,0.41286165921641016,1.0
CD109,0.8188559,1.7649773,0.4128686468620528,1.0
MIOS,0.8187824,1.5217743,0.4129105742073813,1.0
MFNG,0.817068,2.684104,0.41388959487451726,1.0
ANKH,0.8170557,25.80928,0.4138965928168279,1.0
POLR2L,0.81679857,0.27914366,0.4140435657793494,1.0
LINC00278,0.81588006,25.667456,0.41456872123853894,1.0
PPP6R1,0.81550044,0.58294094,0.4147859004904997,1.0
PCMT1,0.8152678,0.15290605,0.41491904359345955,1.0
SFXN4,0.8146065,2.6616762,0.4152975882068136,1.0
TOR1AIP1,0.8136513,0.5735841,0.4158447349552902,1.0
FAAP20,0.8135411,0.49254218,0.41590789464996714,1.0
AMBRA1,0.81352884,25.629324,0.4159149127434174,1.0
GABPB1,0.81350434,0.9647937,0.41592894914007195,1.0
ZNF384,0.8134186,1.4890243,0.41597807873074366,1.0
SMARCE1,0.8132717,1.5289603,0.41606230885641604,1.0
NOC4L,0.8125369,1.4987993,0.4164836104794847,1.0
TMEM39A,0.8123165,1.5313485,0.416610050032162,1.0
VPS39,0.8122675,0.9647937,0.4166381507854511,1.0
UBA3,0.81220627,0.31141287,0.41667327829939005,1.0
PAPOLG,0.8103694,1.5048779,0.41772791586550095,1.0
ICOSLG,0.81000197,25.665472,0.4179390319465981,1.0
TBC1D20,0.8089243,0.7644324,0.4185586682255126,1.0
PYURF,0.8083855,0.58501875,0.41886868902911945,1.0
ARHGEF7,0.80810386,1.1338292,0.41903079911533636,1.0
HIST1H4H,0.80765074,26.258581,0.4192916623357593,1.0
PITRM1,0.80765074,2.68092,0.4192916623357593,1.0
RSBN1L,0.80714864,0.21771078,0.4195808385060509,1.0
MFHAS1,0.8071364,1.6262735,0.4195878930477953,1.0
LAMP3,0.806867,1.5010852,0.41974311060695935,1.0
CLEC12A,0.8067813,0.836784,0.41979250508900634,1.0
USP36,0.8067201,1.3618269,0.41982778895345363,1.0
TPST1,0.80591184,0.7534824,0.42029369929220806,1.0
ATAD2B,0.80563015,1.1271303,0.4204561333212361,1.0
SFMBT2,0.8052995,25.675362,0.4206468637826276,1.0
ACSS2,0.8052138,1.1029752,0.42069632071219953,1.0
AD000671.2,0.8041239,25.631355,0.4213254278355094,1.0
VPS13C,0.80373204,0.47682628,0.42155175848721316,1.0
URM1,0.8029728,0.6066497,0.4219904770028089,1.0
AIMP2,0.8029483,0.7599778,0.4220046336680142,1.0
ZNF200,0.8026666,2.6224506,0.42216745532753897,1.0
SDAD1,0.80206656,0.9354181,0.4225144590102595,1.0
HSPA13,0.80201757,1.9039127,0.4225427932169751,1.0
DIABLO-1,0.80177265,25.61503,0.42268448094752586,1.0
KCNMB1,0.80174816,2.6616762,0.42269865125106454,1.0
RBSN,0.8012338,1.8451443,0.42299629189819854,1.0
SEC62,0.8001317,0.21221831,0.4236345063663721,1.0
RSL24D1,0.79959285,0.25721893,0.4239467272733749,1.0
FLCN,0.7987111,0.70206773,0.4244579244174904,1.0
GABPA,0.7979029,1.8494166,0.4249268381672351,1.0
LPIN1,0.79758453,1.122173,0.42511164482682173,1.0
PSMD12,0.79754776,0.6975642,0.42513297169266395,1.0
SSH1,0.7963722,1.5479647,0.42581576128689,1.0
SMARCD1,0.7962987,1.4914737,0.42585845687510215,1.0
TBC1D23,0.7961885,0.9881376,0.42592250494142603,1.0
CBLL1,0.796115,1.473009,0.42596520677485605,1.0
ATP8B4,0.79589456,25.710443,0.4260933272624444,1.0
KCTD20,0.79525775,0.88408357,0.4264635793793028,1.0
SMIM7,0.7939719,0.08484347,0.4272117754867646,1.0
PHF14,0.7935923,1.3122345,0.42743281762415475,1.0
ABI3,0.79275954,1.7720386,0.4279179175162051,1.0
PUS3,0.7923677,25.629324,0.42814631067266795,1.0
SLC25A51,0.7923677,25.579748,0.42814631067266795,1.0
CSTF2T,0.7920493,1.8422896,0.4283319323397975,1.0
ASH1L-AS1,0.79119205,25.606802,0.42883191566282153,1.0
FAM122C,0.79119205,25.581846,0.42883191566282153,1.0
NOP53,0.7903349,-0.04518749,0.4293322382034439,1.0
GMEB2,0.78988177,1.5627207,0.42959683139359206,1.0
PHF13,0.78884083,25.59853,0.43020503930526033,1.0
NAXE,0.7884122,0.7559903,0.4304556230877433,1.0
NCOA2,0.7883755,0.7223129,0.4304771056386969,1.0
MDFIC,0.7880571,0.5554695,0.43066331380978096,1.0
CTBP2,0.7880204,0.19072759,0.4306848023750427,1.0
RNF113A,0.7878367,1.3114035,0.43079225453279935,1.0
ZHX2,0.7876652,25.604738,0.43089255724422315,1.0
AL356417.3,0.7876652,25.706585,0.43089255724422315,1.0
GTF3C2,0.7873958,2.6041317,0.4310502031585287,1.0
UBFD1,0.78719985,1.0912508,0.43116487574002915,1.0
BET1,0.78704065,0.8526099,0.4312580602371964,1.0
SBF2-AS1,0.7864896,25.73149,0.4315807121159766,1.0
C18orf21,0.7859018,1.826494,0.43192502828863866,1.0
ARL4A,0.7856324,0.2714971,0.4320828930410682,1.0
LY86,0.78526497,0.75714344,0.4322982170111712,1.0
TNIK,0.78520375,1.2728424,0.43233411038005554,1.0
CHKA,0.78503233,1.1603948,0.43243462099364693,1.0
TOP3A,0.78495884,2.5821967,0.4324777011123697,1.0
NPLOC4,0.7848976,0.7534937,0.43251360310938436,1.0
DCTN1,0.78488535,0.70060474,0.43252078371584546,1.0
DNAJB5,0.7841384,25.778269,0.4329589312081715,1.0
APEX2,0.7839179,1.8351296,0.43308826969049996,1.0
TATDN1,0.7836363,0.9615681,0.43325356805545634,1.0
VAMP7,0.7836118,1.0941899,0.43326794355079823,1.0
HTATSF1,0.78320765,0.7922613,0.4335051790546869,1.0
DOK2,0.78318316,0.66271394,0.4335195593778185,1.0
KBTBD8,0.78317094,2.6904523,0.43352674964282567,1.0
MTMR6,0.782081,0.7694015,0.4341669593654309,1.0
ELK4,0.7818606,0.84109265,0.4342965063659703,1.0
TSPYL2,0.7817871,26.114471,0.4343396936615239,1.0
COPB2,0.78132176,0.21099412,0.43461327080758194,1.0
DYNC1LI2,0.780636,0.40245482,0.4350166184585147,1.0
DCAF13,0.7805625,0.64984775,0.43505984709003054,1.0
MFSD14A,0.78041553,1.2729266,0.4351463117910329,1.0
FXR2,0.7801094,2.5495622,0.4353264784344062,1.0
AC020916.1,0.7800727,1.3689322,0.4353481013236641,1.0
OTUD5,0.77927667,0.66157246,0.4358167494056516,1.0
PPRC1,0.77912974,2.5804963,0.43590330085285245,1.0
TAF15,0.7782113,0.25077692,0.43644447189844426,1.0
CLIC2,0.7775867,3.0214436,0.43681268924082195,1.0
TAZ,0.77735406,1.7914616,0.436949913984231,1.0
KATNBL1,0.7773418,0.918194,0.43695713702676786,1.0
CTDSP2,0.77708465,0.8817985,0.43710883680272195,1.0
TIMM13,0.77664375,0.29108936,0.43736896409684456,1.0
CCDC159,0.7758355,1.4467878,0.43784609548216635,1.0
DDX59,0.7757866,0.85555077,0.43787502215592977,1.0
LRCH4,0.77514976,0.60085535,0.4382511689384151,1.0
FGD6,0.77478236,2.6535861,0.4384682611802122,1.0
NDUFA9,0.77453744,0.53897077,0.43861302367659405,1.0
CHAMP1,0.7741333,1.1078353,0.4388519418373572,1.0
IMP3,0.7739986,0.8433508,0.4389315978373566,1.0
PRCC,0.7733251,0.906779,0.43933000240936204,1.0
RHOT2,0.7733251,0.90516347,0.43933000240936204,1.0
STK26,0.77238214,25.671413,0.4398881175060535,1.0
ZNF410,0.77238214,25.545773,0.4398881175060535,1.0
ZNF654,0.7710596,1.2610508,0.44067161339387817,1.0
EXT2,0.77079016,1.8105358,0.4408313124324579,1.0
LARP4,0.7705085,0.73405147,0.44099830598046696,1.0
ZCCHC14,0.7700309,1.8336937,0.4412815517861778,1.0
DNAJB9,0.7694064,0.95059747,0.44165210734800664,1.0
RTN3,0.76916146,0.047615733,0.44179747187588814,1.0
HIST2H2BF,0.76867163,0.74654365,0.4420882830887134,1.0
CAPRIN1,0.768145,0.6065693,0.44240102728958464,1.0
KLHL28,0.7680348,1.204826,0.4424665013919805,1.0
HEATR3,0.7676797,25.575542,0.4426775112008522,1.0
JAGN1,0.7672266,0.47682792,0.4429468141431544,1.0
RASAL3,0.7662224,2.566825,0.44354398136476925,1.0
CDK11B,0.7660142,0.5004402,0.44366784185819474,1.0
SMIM26,0.76589173,0.1535104,0.44374071019963135,1.0
SLC22A15,0.76498556,1.8119932,0.4442801483201323,1.0
AXIN1,0.7649488,2.5616665,0.4443020253246249,1.0
METTL4,0.7648631,2.5356107,0.4443530740593601,1.0
YRDC,0.76470387,1.4543245,0.44444788773254484,1.0
ZNF331,0.7642263,1.5506953,0.4447323980078586,1.0
RNF25,0.7641528,25.569212,0.44477617803870007,1.0
GPR141,0.76400584,2.5990977,0.4448637454748534,1.0
ATXN7L1,0.7639569,1.8293779,0.4448929368051593,1.0
CPSF3,0.7638589,1.4742467,0.44495132274297766,1.0
CTDP1,0.7636385,1.4226801,0.4450827070783866,1.0
CTTNBP2NL,0.7634915,1.1170813,0.4451703089229915,1.0
METTL5,0.7630262,0.38709593,0.44544777960597703,1.0
ATP6V0A2,0.76301396,1.5467836,0.44545508279686596,1.0
